Patient_id,Anonymized patient study ID
Sample,Anonymized bronchoalveolar lavage (BAL) sample ID
,
Demographics and outcomes,
Age,"Patient age, except those >=89 years old are aggregated into a group per Safe Harbor deidentification guidelines; this group is  labeled 91"
BMI,Patient body mass index [Kg/m2]
Outcome,"Disposition of where they were discharged to, as recorded in electronic health record"
Superinfection,"Superinfection was defined as bacterial infection co-occurring with a viral pathogen diagnosed by BAL sampling. For the purposes of this report, ventilator-associated pneumonia (VAP) refers to incident bacterial pneumonia occurring after at least 48 hours of mechanical ventilation in patients who were enrolled as a non-pneumonia control or who were enrolled with viral pneumonia (due to SARS-CoV-2 or another virus) but who did not have evidence of an underlying viral infection at the time of the current BAL sample (i.e., had cleared their viral infection)."
SOFA,Mean Sequential Organ Failure Assessment score over patient stay
,
Clinical parameters at time of BAL,
WBC,White blood cell count [K/UL]
Neutrophils (blood),Absolute neutrophil count [K/UL]
Lymphocytes (blood),Absolute lymphocyte count [K/UL]
Eosinophils (blood),Absolute eosinophil count [K/UL]
CRP,C-reactive protein [mg/L]
LDH,Lactate dehydrogenase [units/L]
CK,Creatine kinase
Procalcitonin,Mean procalcitonin [ng/mL]
Ferritin,Mean ferritin [ng/mL]
Troponin,Troponin [ng/mL]
Creatinine,Creatinine [mg/dL]
AST,Aspartate aminotransferase [U/L]
D-dimer,D-Dimer [ng/mL D-DU]
FiO2,Fraction inspired oxygen [%]
PEEP,Positive end-expiratory pressure [cm H2O]
P/F,Arterial partial pressure of oxygen / fractional inspired oxygen
Respiratory system compliance,Lung compliance [mL/cm H2O]
Driving pressure,Driving pressure [cmH2O]
Vte,Minute ventilation [L/minute]
Arterial PH,Arterial blood gas pH
PaO2,Arterial blood gas measuring partial pressure of oxygen [mm Hg]
PaCO2,Arterial blood gas measuring partial pressure of carbon dioxide [mm Hg]
HCO3,Arterial blood gas measuring bicarbonate [mEq/L]
Days on MV,Number of days on mechanical ventilation
